Date;LBUSTRUU INDEX
11/02/1991;444.32
12/02/1991;444.49
13/02/1991;444.54
14/02/1991;444.4
15/02/1991;444.89
19/02/1991;444.45
20/02/1991;443.79
21/02/1991;443.48
22/02/1991;442.61
25/02/1991;443.35
26/02/1991;442.08
27/02/1991;441.82
28/02/1991;441.88
01/03/1991;439.56
04/03/1991;439.96
05/03/1991;440.62
06/03/1991;440.49
07/03/1991;441.42
08/03/1991;440.27
11/03/1991;442.13
12/03/1991;441.51
13/03/1991;443.01
14/03/1991;443.41
15/03/1991;442.22
18/03/1991;441.42
19/03/1991;439.34
20/03/1991;440.54
21/03/1991;441.55
25/03/1991;442.26
26/03/1991;442.44
27/03/1991;443.59
28/03/1991;444.92
29/03/1991;444.92
01/04/1991;444.69
02/04/1991;445.31
03/04/1991;445.4
04/04/1991;446.56
05/04/1991;446.78
08/04/1991;447.31
09/04/1991;446.47
10/04/1991;444.96
11/04/1991;445.36
12/04/1991;447.76
15/04/1991;448.65
16/04/1991;448.56
17/04/1991;449.09
18/04/1991;447.67
19/04/1991;446.47
22/04/1991;445.76
23/04/1991;446.51
24/04/1991;447.94
25/04/1991;447.94
26/04/1991;448.52
29/04/1991;448.47
30/04/1991;449.74
01/05/1991;450.17
02/05/1991;450.93
03/05/1991;449.72
07/05/1991;449.67
08/05/1991;449.72
09/05/1991;449.99
10/05/1991;447.78
14/05/1991;448.59
15/05/1991;449.13
16/05/1991;449.54
17/05/1991;450.21
20/05/1991;450.03
21/05/1991;451.02
22/05/1991;451.02
23/05/1991;450.84
24/05/1991;450.98
28/05/1991;452.1
29/05/1991;452.23
30/05/1991;453.45
31/05/1991;452.37
03/06/1991;450.83
04/06/1991;450.92
05/06/1991;449.97
06/06/1991;449.29
07/06/1991;447.98
10/06/1991;448.12
11/06/1991;448.48
12/06/1991;447.08
13/06/1991;447.57
14/06/1991;449.02
17/06/1991;449.16
18/06/1991;448.84
19/06/1991;448.98
20/06/1991;450.06
21/06/1991;449.56
24/06/1991;449.65
25/06/1991;449.7
26/06/1991;449.75
27/06/1991;450.24
28/06/1991;452.14
01/07/1991;451.92
02/07/1991;451.83
03/07/1991;452.28
05/07/1991;450.74
08/07/1991;451.1
09/07/1991;450.92
10/07/1991;451.51
11/07/1991;452.64
12/07/1991;453.77
15/07/1991;454.18
16/07/1991;454.18
17/07/1991;453.64
18/07/1991;453.5
19/07/1991;454.31
22/07/1991;454.81
23/07/1991;454.36
24/07/1991;455.99
25/07/1991;456.89
26/07/1991;457.07
29/07/1991;457.39
30/07/1991;457.75
31/07/1991;458.41
01/08/1991;459.39
02/08/1991;462.55
05/08/1991;463.2
06/08/1991;464.94
07/08/1991;463.15
08/08/1991;462.6
09/08/1991;462.74
12/08/1991;463.75
13/08/1991;464.62
14/08/1991;466.73
15/08/1991;466.04
16/08/1991;466.45
19/08/1991;466.73
20/08/1991;467.32
21/08/1991;467.69
22/08/1991;468.24
